"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01014","65～69歳","","8,125","3,943","4,181"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01015","70～74歳","","9,353","4,416","4,936"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01016","75～79歳","","6,963","3,098","3,865"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01017","80～84歳","","5,414","2,238","3,175"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01018","85～89歳","","3,780","1,343","2,437"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01019","90～94歳","","1,827","506","1,321"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01020","95～99歳","","509","96","413"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01021","100歳以上","","81","10","71"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","02000","（再掲）15歳未満","","14,983","7,675","7,308"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01023","（再掲）15～64歳","","75,033","37,984","37,049"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01024","（再掲）65歳以上","","36,051","15,651","20,400"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01026","（再掲）うち75歳以上","","18,574","7,291","11,283"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01027","（再掲）うち85歳以上","","6,198","1,955","4,243"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","002","日本人人口","01000","総数","","123,261","59,931","63,330"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","002","日本人人口","01001","0～4歳","","4,419","2,261","2,158"
